,hexagon_id,connections_points,normalized_score
913,871eb04e3ffffff,,
914,871eb3d66ffffff,,
915,871eb004effffff,,
916,871eb2061ffffff,,
917,871eb078dffffff,1.0,0.0
918,871eb0606ffffff,,
919,871eb3d02ffffff,,
920,871eb230bffffff,,
921,871eb0a9bffffff,,
922,871eb2aaeffffff,,
923,871eb2a4affffff,,
924,871eb0729ffffff,,
925,871eb041bffffff,,
926,871eb3c9effffff,,
927,871eb0294ffffff,,
928,871eb0428ffffff,,
929,871eb0736ffffff,,
930,871e9492dffffff,,
931,871eb2b6dffffff,,
932,871eb06c5ffffff,,
933,871eb00a9ffffff,,
934,871eb2243ffffff,,
935,871eb2366ffffff,,
936,871eb04daffffff,,
937,871eb2b09ffffff,,
938,871eb0661ffffff,,
939,871eb0045ffffff,,
940,871eb0784ffffff,,
941,871eb0476ffffff,,
942,871eb0a92ffffff,,
943,871eb2aa5ffffff,,
944,871eb2302ffffff,,
945,871eb2a41ffffff,,
946,871eb0720ffffff,,
947,871eb3c95ffffff,,
948,871eb0412ffffff,,
949,871eb2b64ffffff,,
950,871eb3c31ffffff,,
951,871eb00a0ffffff,,
952,871eb235dffffff,,
953,871eb04d1ffffff,,
954,871eb2b00ffffff,,
955,871eb3d54ffffff,,
956,871eb0658ffffff,,
957,871eb046dffffff,,
958,871eb2a9cffffff,,
959,871eb0409ffffff,,
960,871eb2318ffffff,,
961,871eb048cffffff,,
962,871eb0613ffffff,,
963,871eb079affffff,,
964,871eb06b3ffffff,,
965,871eb2b5bffffff,,
966,871eb2231ffffff,,
967,871eb284dffffff,,
